Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,File Offset (s),Begin File,Delta Time (s),Common Name,Species Code,Confidence,Verify,Label,Call Type,Notes,Done?
24271,Spectrogram 1,1,187623,187626,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250516_202700.wav,1623,2MA08068_20250516_202700.wav,3,King Rail,kinrai4,0.2181,0,,,,0
26903,Spectrogram 1,1,217401,217404,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250521_203200.wav,1401,2MA08068_20250521_203200.wav,3,Red-winged Blackbird,rewbla,0.18,1,RWBL,twitter,,0
26904,Spectrogram 1,1,217401,217404,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250521_203200.wav,1401,2MA08068_20250521_203200.wav,3,Least Bittern,leabit,0.1429,0,,,,0
28971,Spectrogram 1,1,237177,237180,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250525_040000.wav,777,2MA08068_20250525_040000.wav,3,Least Bittern,leabit,0.3441,0,,,train?,0
31137,Spectrogram 1,1,253866,253869,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250527_203700.wav,1866,2MA08068_20250527_203700.wav,3,Virginia Rail,virrai,0.3445,0,,,,0
31895,Spectrogram 1,1,259371,259374,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250528_203800.wav,1371,2MA08068_20250528_203800.wav,3,Virginia Rail,virrai,0.4177,0,,,,0
31896,Spectrogram 1,1,259371,259374,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250528_203800.wav,1371,2MA08068_20250528_203800.wav,3,Red-winged Blackbird,rewbla,0.2252,1,,,,0
31897,Spectrogram 1,1,259371,259374,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250528_203800.wav,1371,2MA08068_20250528_203800.wav,3,Sora,sora,0.1035,0,,,,0
32019,Spectrogram 1,1,259893,259896,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250528_203800.wav,1893,2MA08068_20250528_203800.wav,3,Willow Flycatcher,wilfly,0.432,U,,,,0
32020,Spectrogram 1,1,259893,259896,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250528_203800.wav,1893,2MA08068_20250528_203800.wav,3,Least Bittern,leabit,0.2912,0,,,,0
33599,Spectrogram 1,1,272760,272763,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250531_040000.wav,360,2MA08068_20250531_040000.wav,3,Least Bittern,leabit,0.5727,0,,,train?,0
34014,Spectrogram 1,1,279612,279615,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250601_054100.wav,12,2MA08068_20250601_054100.wav,3,King Rail,kinrai4,0.576,0,,,,0
34805,Spectrogram 1,1,285408,285411,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250602_040000.wav,1008,2MA08068_20250602_040000.wav,3,Least Bittern,leabit,0.3379,1,,,,0
36784,Spectrogram 1,1,299523,299526,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250604_054000.wav,1923,2MA08068_20250604_054000.wav,3,Least Bittern,leabit,0.904,0,,,engine sound,0
39245,Spectrogram 1,1,318705,318708,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250607_204500.wav,705,2MA08068_20250607_204500.wav,3,Virginia Rail,virrai,0.4875,0,,,,0
39246,Spectrogram 1,1,318705,318708,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250607_204500.wav,705,2MA08068_20250607_204500.wav,3,Least Bittern,leabit,0.3958,0,,,,0
39247,Spectrogram 1,1,318705,318708,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250607_204500.wav,705,2MA08068_20250607_204500.wav,3,Willow Flycatcher,wilfly,0.1194,0,,,,0
34803,Spectrogram 1,1,285399,285402,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250602_040000.wav,999,2MA08068_20250602_040000.wav,3,Least Bittern,leabit,0.8416,1,,,,0.5
34806,Spectrogram 1,1,285414,285417,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250602_040000.wav,1014,2MA08068_20250602_040000.wav,3,Least Bittern,leabit,0.9676,1,,,,0.5
301,Spectrogram 1,1,5673,5676,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250416_063100.wav,2073,2MA08068_20250416_063100.wav,3,Virginia Rail,virrai,0.1053,0,,,,1
655,Spectrogram 1,1,8487,8490,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250417_040000.wav,87,2MA08068_20250417_040000.wav,3,Virginia Rail,virrai,0.8475,1,VIRA,tick it,,1
656,Spectrogram 1,1,8493,8496,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250417_040000.wav,93,2MA08068_20250417_040000.wav,3,Pied-billed Grebe,pibgre,0.1168,1,PBGR,,,1
663,Spectrogram 1,1,8709,8712,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250417_040000.wav,309,2MA08068_20250417_040000.wav,3,Virginia Rail,virrai,0.4664,1,VIRA,,,1
666,Spectrogram 1,1,8724,8727,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250417_040000.wav,324,2MA08068_20250417_040000.wav,3,Pied-billed Grebe,pibgre,0.9684,1,PBGR,,,1
667,Spectrogram 1,1,8757,8760,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250417_040000.wav,357,2MA08068_20250417_040000.wav,3,Virginia Rail,virrai,0.4267,1,VIRA,tick it,,1
15409,Spectrogram 1,1,128217,128220,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250506_201700.wav,2217,2MA08068_20250506_201700.wav,3,Least Bittern,leabit,0.6315,0,,,COGA wipeout,1
15410,Spectrogram 1,1,128217,128220,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250506_201700.wav,2217,2MA08068_20250506_201700.wav,3,American Bittern,amebit,0.2615,0,,,goose,1
15411,Spectrogram 1,1,128217,128220,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250506_201700.wav,2217,2MA08068_20250506_201700.wav,3,Pied-billed Grebe,pibgre,0.2531,0,,,,1
15412,Spectrogram 1,1,128217,128220,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250506_201700.wav,2217,2MA08068_20250506_201700.wav,3,Common Gallinule,comgal1,0.1877,1,,wipeout,,1
15413,Spectrogram 1,1,128217,128220,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250506_201700.wav,2217,2MA08068_20250506_201700.wav,3,Sora,sora,0.1378,0,,,,1
34800,Spectrogram 1,1,285375,285378,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250602_040000.wav,975,2MA08068_20250602_040000.wav,3,Least Bittern,leabit,0.6683,1,,,,1
34801,Spectrogram 1,1,285381,285384,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250602_040000.wav,981,2MA08068_20250602_040000.wav,3,Least Bittern,leabit,0.6469,1,,,,1
34807,Spectrogram 1,1,285420,285423,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250602_040000.wav,1020,2MA08068_20250602_040000.wav,3,Least Bittern,leabit,0.8621,1,,,,1
34808,Spectrogram 1,1,285429,285432,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250602_040000.wav,1029,2MA08068_20250602_040000.wav,3,Least Bittern,leabit,0.9874,1,,,,1
34809,Spectrogram 1,1,285441,285444,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250602_040000.wav,1041,2MA08068_20250602_040000.wav,3,Least Bittern,leabit,0.6901,1,,,,1
34814,Spectrogram 1,1,285501,285504,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250602_040000.wav,1101,2MA08068_20250602_040000.wav,3,Least Bittern,leabit,0.855,1,,,,1
52678,Spectrogram 1,1,4013.193104,4016.193104,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250416_063100.wav,413.1931,2MA08068_20250416_063100.wav,3,,,,,Background Noise,,rise,2
52679,Spectrogram 1,1,27717.29302,27720.29302,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250420_062500.wav,117.293,2MA08068_20250420_062500.wav,3,,,,,Background Noise,,rise,2
52681,Spectrogram 1,1,237171.3857,237174.3857,0,11867.647,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250525_040000.wav,771.3857,2MA08068_20250525_040000.wav,3,,,,,Background Noise,,4am,2
52682,Spectrogram 1,1,510410.5576,510413.5576,0,11647.059,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250709_204900.wav,410.5577,2MA08068_20250709_204900.wav,3,,,,,Background Noise,,set,2
52683,Spectrogram 1,1,237165.2939,237168.2939,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250525_040000.wav,765.2939,2MA08068_20250525_040000.wav,3,,,,,Background Noise,,4am,2
52685,Spectrogram 1,1,285359.1175,285362.1175,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250602_040000.wav,959.1175,2MA08068_20250602_040000.wav,3,,,,,Background Noise,,4am,2
52687,Spectrogram 1,1,272755.4514,272758.4514,0,11867.647,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250531_040000.wav,355.4514,2MA08068_20250531_040000.wav,3,,,,,Background Noise,,4am,2
52688,Spectrogram 1,1,8482.199407,8485.199407,0,11867.647,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250417_040000.wav,82.1994,2MA08068_20250417_040000.wav,3,,,,,Background Noise,,4am,2
52692,Spectrogram 1,1,115832.0779,115835.0779,0,11823.529,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250504_201400.wav,1832.0779,2MA08068_20250504_201400.wav,3,,,,,Background Noise,,set,2
52693,Spectrogram 1,1,390.1625062,393.1625062,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,390.1625,2MA08068_20250415_195400.wav,3,,,,,Background Noise,,set,2
1,Spectrogram 1,1,3,6,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,3,2MA08068_20250415_195400.wav,3,Red-winged Blackbird,rewbla,0.1153,,,,,
2,Spectrogram 1,1,24,27,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,24,2MA08068_20250415_195400.wav,3,Sandhill Crane,sancra,0.3854,,,,,
3,Spectrogram 1,1,48,51,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,48,2MA08068_20250415_195400.wav,3,Virginia Rail,virrai,0.131,0,,,,
4,Spectrogram 1,1,87,90,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,87,2MA08068_20250415_195400.wav,3,Virginia Rail,virrai,0.1277,,,,,
5,Spectrogram 1,1,117,120,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,117,2MA08068_20250415_195400.wav,3,Great Blue Heron,grbher3,0.2328,,,,,
6,Spectrogram 1,1,123,126,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,123,2MA08068_20250415_195400.wav,3,Red-winged Blackbird,rewbla,0.1075,,,,,
7,Spectrogram 1,1,216,219,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,216,2MA08068_20250415_195400.wav,3,Red-winged Blackbird,rewbla,0.2162,,,,,
8,Spectrogram 1,1,246,249,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,246,2MA08068_20250415_195400.wav,3,King Rail,kinrai4,0.1123,,,,,
9,Spectrogram 1,1,315,318,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,315,2MA08068_20250415_195400.wav,3,Virginia Rail,virrai,0.1021,,,,,
10,Spectrogram 1,1,354,357,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,354,2MA08068_20250415_195400.wav,3,Red-winged Blackbird,rewbla,0.1919,,,,,
11,Spectrogram 1,1,354,357,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,354,2MA08068_20250415_195400.wav,3,Least Bittern,leabit,0.1441,,,,,
12,Spectrogram 1,1,357,360,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,357,2MA08068_20250415_195400.wav,3,Red-winged Blackbird,rewbla,0.234,,,,,
13,Spectrogram 1,1,357,360,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,357,2MA08068_20250415_195400.wav,3,Virginia Rail,virrai,0.1069,,,,,
14,Spectrogram 1,1,369,372,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,369,2MA08068_20250415_195400.wav,3,Red-winged Blackbird,rewbla,0.1673,,,,,
15,Spectrogram 1,1,369,372,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,369,2MA08068_20250415_195400.wav,3,Least Bittern,leabit,0.1561,,,,,
16,Spectrogram 1,1,387,390,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,387,2MA08068_20250415_195400.wav,3,Red-winged Blackbird,rewbla,0.1181,,,,,
17,Spectrogram 1,1,396,399,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250415_195400.wav,396,2MA08068_20250415_195400.wav,3,Virginia Rail,virrai,0.3453,,,,,
