Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,File Offset (s),Begin File,Delta Time (s),Common Name,Species Code,Confidence,Verify,Label,Call Type,Notes,Done?,source_file
47,Spectrogram 1,1,141.0,144.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,141.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.7182,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
62,Spectrogram 1,1,228.0,231.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,228.0,MINI06_20250410_050000.wav,3.0,Least Bittern,leabit,0.1781,0,,,,1.0,BirdNet_Choctaw_Annotations_final.csv
63,Spectrogram 1,1,231.0,234.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,231.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.8173,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
64,Spectrogram 1,1,234.0,237.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,234.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.894,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
65,Spectrogram 1,1,237.0,240.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,237.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.9034,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
66,Spectrogram 1,1,240.0,243.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,240.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.5101,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
67,Spectrogram 1,1,243.0,246.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,243.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.1334,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
68,Spectrogram 1,1,246.0,249.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,246.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.3095,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
69,Spectrogram 1,1,249.0,252.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,249.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.23,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
70,Spectrogram 1,1,252.0,255.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,252.0,MINI06_20250410_050000.wav,3.0,Least Bittern,leabit,0.1884,0,,,,1.0,BirdNet_Choctaw_Annotations_final.csv
72,Spectrogram 1,1,258.0,261.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,258.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.7963,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
83,Spectrogram 1,1,291.0,294.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,291.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.3795,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
84,Spectrogram 1,1,294.0,297.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,294.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.1235,1,KIRA,,,1.0,BirdNet_Choctaw_Annotations_final.csv
86,Spectrogram 1,1,300.0,303.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,300.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.2321,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
87,Spectrogram 1,1,303.0,306.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,303.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.6275,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
88,Spectrogram 1,1,306.0,309.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,306.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.5092,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
89,Spectrogram 1,1,309.0,312.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,309.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.229,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
90,Spectrogram 1,1,312.0,315.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,312.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.5715,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
91,Spectrogram 1,1,314.9662715,318.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,314.9663,MINI06_20250410_050000.wav,3.0337,King Rail,kinrai4,0.5926,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
92,Spectrogram 1,1,318.0,321.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,318.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.2927,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
93,Spectrogram 1,1,321.0,324.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,321.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.3868,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
94,Spectrogram 1,1,324.0,327.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,324.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.6758,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
95,Spectrogram 1,1,327.0,330.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,327.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.2685,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
96,Spectrogram 1,1,330.0,333.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,330.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.3193,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
97,Spectrogram 1,1,333.0,336.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,333.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.4352,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
98,Spectrogram 1,1,336.0,339.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,336.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.4286,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
99,Spectrogram 1,1,339.0,342.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,339.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.3195,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
100,Spectrogram 1,1,342.0,345.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,342.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.5492,1,KIRA,kek,clean,1.0,BirdNet_Choctaw_Annotations_final.csv
101,Spectrogram 1,1,345.0,348.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,345.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.6617,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
102,Spectrogram 1,1,348.0,351.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,348.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.9018,1,KIRA,kek,"clean, only keks",1.0,BirdNet_Choctaw_Annotations_final.csv
103,Spectrogram 1,1,351.0,354.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,351.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.9462,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
104,Spectrogram 1,1,354.0,357.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,354.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.8308,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
106,Spectrogram 1,1,360.0,363.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,360.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.7557,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
285,Spectrogram 1,1,1017.0,1020.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,1017.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.5955,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
388,Spectrogram 1,1,1437.0,1440.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,1437.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.2751,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
389,Spectrogram 1,1,1437.0,1440.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,1437.0,MINI06_20250410_050000.wav,3.0,Common Gallinule,comgal1,0.1273,1,COGA,wipeout,,1.0,BirdNet_Choctaw_Annotations_final.csv
1109,Spectrogram 1,1,3915.0,3918.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_060002.wav,315.0,MINI06_20250410_060002.wav,3.0,American Bittern,amebit,0.8472,1,AMBI,pumperlunk,JS,1.0,BirdNet_Choctaw_Annotations_final.csv
1110,Spectrogram 1,1,3918.0,3921.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_060002.wav,318.0,MINI06_20250410_060002.wav,3.0,King Rail,kinrai4,0.43,1,,,,1.0,BirdNet_Choctaw_Annotations_final.csv
1122,Spectrogram 1,1,3957.0,3960.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_060002.wav,357.0,MINI06_20250410_060002.wav,3.0,King Rail,kinrai4,0.3807,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
1123,Spectrogram 1,1,3960.0,3963.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_060002.wav,360.0,MINI06_20250410_060002.wav,3.0,King Rail,kinrai4,0.6107,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
1125,Spectrogram 1,1,3963.0,3966.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_060002.wav,363.0,MINI06_20250410_060002.wav,3.0,King Rail,kinrai4,0.4436,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
1348,Spectrogram 1,1,4527.0,4530.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_060002.wav,927.0,MINI06_20250410_060002.wav,3.0,American Bittern,amebit,0.4308,1,AMBI,pumperlunk,,1.0,BirdNet_Choctaw_Annotations_final.csv
1349,Spectrogram 1,1,4530.0,4533.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_060002.wav,930.0,MINI06_20250410_060002.wav,3.0,American Bittern,amebit,0.1614,1,AMBI,pumperlunk,JS,1.0,BirdNet_Choctaw_Annotations_final.csv
4168,Spectrogram 1,1,11237.0,11240.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_080002.wav,441.0,MINI06_20250410_080002.wav,3.0,King Rail,kinrai4,0.8829,1,KIRA,grunt,2,1.0,BirdNet_Choctaw_Annotations_final.csv
9666,Spectrogram 1,1,55787.0,55790.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250411_050000.wav,1815.0,MINI06_20250411_050000.wav,3.0,King Rail,kinrai4,0.4883,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
9667,Spectrogram 1,1,55790.0,55793.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250411_050000.wav,1818.0,MINI06_20250411_050000.wav,3.0,King Rail,kinrai4,0.687,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
9992,Spectrogram 1,1,56945.0,56948.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250411_050000.wav,2973.0,MINI06_20250411_050000.wav,3.0,King Rail,kinrai4,0.8661,1,KIRA,kek,frogs,1.0,BirdNet_Choctaw_Annotations_final.csv
14430,Spectrogram 1,1,74562.0,74565.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250411_100002.wav,2598.0,MINI06_20250411_100002.wav,3.0,King Rail,kinrai4,0.2093,1,KIRA,grunt,rain/wind,1.0,BirdNet_Choctaw_Annotations_final.csv
14431,Spectrogram 1,1,74565.0,74568.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250411_100002.wav,2601.0,MINI06_20250411_100002.wav,3.0,King Rail,kinrai4,0.8462,1,KIRA,grunt,rain/wind,1.0,BirdNet_Choctaw_Annotations_final.csv
26487,Spectrogram 1,1,164301.0,164304.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250413_050000.wav,2385.0,MINI06_20250413_050000.wav,3.0,King Rail,kinrai4,0.4245,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
49223,Spectrogram 1,1,328276.0,328279.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250421_050000.wav,846.0,MINI06_20250421_050000.wav,3.0,King Rail,kinrai4,0.867,1,KIRA,kek,engine,1.0,BirdNet_Choctaw_Annotations_final.csv
51739,Spectrogram 1,1,337496.0,337499.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250421_070002.wav,2868.0,MINI06_20250421_070002.wav,3.0,Least Bittern,leabit,0.3115,0,,,,1.0,BirdNet_Choctaw_Annotations_final.csv
