Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Delta Time (s)	CommonName	Species Code	Confidence	Verify	Label	Call Type	Notes	Done?
116	Spectrogram 1	1	14974.813805960	14976.602622456	3684.906	9093.396	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240511_080002.wav	584.4269	BIGM12_20240511_080002.wav	1.7888	Common Yellowthroat			1	COYE			
179	Spectrogram 1	1	14975.715675610	14976.729338291	1753.977	9872.386	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240511_080002.wav	585.3287	BIGM12_20240511_080002.wav	1.0137	Yellow Warbler			1	YEWA			
48	Spectrogram 1	1	14977.428080562	14980.428080562	475.472	15452.830	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240511_080002.wav	587.0411	BIGM12_20240511_080002.wav	3.0000	King Rail		0.3139	1			More faint	
117	Spectrogram 1	1	14978.756655653	14979.516902663	3268.868	7726.415	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240511_080002.wav	588.3697	BIGM12_20240511_080002.wav	0.7602	Red-winged Blackbird			1	RWBL	jeer		
113	Spectrogram 1	1	14980.491428811	14983.491428811	0.000	15096.226	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240511_080002.wav	590.1045	BIGM12_20240511_080002.wav	3.0000	King Rail			1	KIRA	kek		1
70	Spectrogram 1	1	14980.508205138	14982.015260000	1810.075	8282.463	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240511_080002.wav	590.1213	BIGM12_20240511_080002.wav	1.5071	Common Yellowthroat			1	COYE			
71	Spectrogram 1	1	14982.172020000	14983.574660000	3565.299	8995.522	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240511_080002.wav	591.7851	BIGM12_20240511_080002.wav	1.4026	Yellow Warbler			1	YEWA			
114	Spectrogram 1	1	14983.599497472	14986.619983817	0.000	13550.943	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240511_080002.wav	593.2126	BIGM12_20240511_080002.wav	3.0205	King Rail			1	KIRA	kek		1
73	Spectrogram 1	1	14984.622510000	14986.115910000	2852.239	7075.746	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240511_080002.wav	594.2356	BIGM12_20240511_080002.wav	1.4934	Common Yellowthroat			1	COYE			
115	Spectrogram 1	1	14986.679611034	14989.679611034	0.000	13372.642	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240511_080002.wav	596.2927	BIGM12_20240511_080002.wav	3.0000	King Rail			1	KIRA	kek		
74	Spectrogram 1	1	14986.808980000	14987.031750000	5210.821	9324.627	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240511_080002.wav	596.4220	BIGM12_20240511_080002.wav	0.2228					NT			
72	Spectrogram 1	1	14987.056500000	14988.467390000	3071.642	7075.746	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240511_080002.wav	596.6696	BIGM12_20240511_080002.wav	1.4109	Common Yellowthroat				COYE			
49	Spectrogram 1	1	16772.655421910	16775.655421910	0.000	15215.094	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240514_080002.wav	584.7189	BIGM12_20240514_080002.wav	3.0000	King Rail		0.6343	1	KIRA	kek	More faint	1
119	Spectrogram 1	1	16773.318774693	16775.606969127	2912.264	12540.566	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240514_080002.wav	585.3823	BIGM12_20240514_080002.wav	2.2882				1	NT			
77	Spectrogram 1	1	16775.914250000	16776.970941705	2413.433	6417.537	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240514_080002.wav	587.9777	BIGM12_20240514_080002.wav	1.0567							Multiple NT	
122	Spectrogram 1	1	16776.851687272	16777.157276757	2555.660	13372.642	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240514_080002.wav	588.9152	BIGM12_20240514_080002.wav	0.3056	Red-winged Blackbird				RWBL	check		
123	Spectrogram 1	1	16777.187090365	16780.187090365	0.000	15036.792	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240514_080002.wav	589.2506	BIGM12_20240514_080002.wav	3.0000	King Rail			1	KIRA	kek		1
121	Spectrogram 1	1	16777.224357375	16777.529946860	1783.019	6062.264	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240514_080002.wav	589.2878	BIGM12_20240514_080002.wav	0.3056	Red-winged Blackbird			1	RWBL	conklaree		
76	Spectrogram 1	1	16777.523150000	16779.206320000	3400.746	6911.194	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240514_080002.wav	589.5866	BIGM12_20240514_080002.wav	1.6832	Common Yellowthroat			1	COYE			
125	Spectrogram 1	1	16778.595783355	16779.922488923	2496.226	12421.698	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240514_080002.wav	590.6593	BIGM12_20240514_080002.wav	1.3267				1	NT			
75	Spectrogram 1	1	16779.602360000	16780.168451191	2468.284	10805.597	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240514_080002.wav	591.6659	BIGM12_20240514_080002.wav	0.5661				1	NT			
78	Spectrogram 1	1	16780.196410000	16781.566050000	1864.925	4717.164	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240514_080002.wav	592.2599	BIGM12_20240514_080002.wav	1.3696							Probably American Robin	
126	Spectrogram 1	1	16781.726212222	16784.726212222	0.000	14858.491	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240514_080002.wav	593.7897	BIGM12_20240514_080002.wav	3.0000	King Rail			1	KIRA	kek		1
184	Spectrogram 1	1	16782.711917072	16784.694522021	350.795	6915.682	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240514_080002.wav	594.7754	BIGM12_20240514_080002.wav	1.9826	Red-winged Blackbird			1	RWBL	conklaree		
186	Spectrogram 1	1	16784.150423670	16784.716882227	851.932	3457.841	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240514_080002.wav	596.2139	BIGM12_20240514_080002.wav	0.5665				1	NT			
50	Spectrogram 1	1	18909.671740000	18912.671740000	0.000	17057.547	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240515_070002.wav	924.1857	BIGM12_20240515_070002.wav	3.0000	King Rail		0.5346	1	KIRA	kek	More faint	1
79	Spectrogram 1	1	18909.993530000	18911.792200000	2523.134	6252.985	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240515_070002.wav	924.5075	BIGM12_20240515_070002.wav	1.7987	Common Yellowthroat			1	COYE			
80	Spectrogram 1	1	18911.911775933	18912.629878678	603.358	14977.358	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240515_070002.wav	926.4257	BIGM12_20240515_070002.wav	0.7181	Red-winged Blackbird			1	RWBL	conklaree		
128	Spectrogram 1	1	18912.682052492	18915.682052492	0.000	17354.717	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240515_070002.wav	927.1960	BIGM12_20240515_070002.wav	3.0000	King Rail			1	KIRA	kek		1
130	Spectrogram 1	1	18912.711866100	18913.069629400	1307.547	7666.981	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240515_070002.wav	927.2258	BIGM12_20240515_070002.wav	0.3578	Red-winged Blackbird			1	RWBL	conklaree		
134	Spectrogram 1	1	18913.091989606	18913.829876410	0.000	1604.717	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240515_070002.wav	927.6059	BIGM12_20240515_070002.wav	0.7379				1	Noise			
131	Spectrogram 1	1	18913.405032493	18914.597576823	3863.208	13372.642	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240515_070002.wav	927.9190	BIGM12_20240515_070002.wav	1.1925				1	NT			
133	Spectrogram 1	1	18913.591367544	18913.934224039	2674.528	3625.472	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240515_070002.wav	928.1053	BIGM12_20240515_070002.wav	0.3429				1	NT			
132	Spectrogram 1	1	18914.612483627	18915.633599710	3447.170	7785.849	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240515_070002.wav	929.1264	BIGM12_20240515_070002.wav	1.0211				1	NT			
129	Spectrogram 1	1	18915.685773524	18918.685773524	0.000	17295.283	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240515_070002.wav	930.1997	BIGM12_20240515_070002.wav	3.0000	King Rail			1	KIRA	kek		
81	Spectrogram 1	1	18916.033120000	18917.539094492	3455.597	12780.224	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240515_070002.wav	930.5471	BIGM12_20240515_070002.wav	1.5060				1	NT		mayyyyyybe marsh wren	
191	Spectrogram 1	1	18916.589498810	18918.266514274	2856.477	11476.023	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240515_070002.wav	931.1034	BIGM12_20240515_070002.wav	1.6770				1	NT			
51	Spectrogram 1	1	25137.767800000	25140.767800000	0.000	14561.321	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240530_070002.wav	3555.1857	BIGM12_20240530_070002.wav	3.0000	King Rail		0.4707	1	KIRA	kek	More faint	1
138	Spectrogram 1	1	25138.237154265	25140.734043957	3684.906	7369.811	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240530_070002.wav	3555.6550	BIGM12_20240530_070002.wav	2.4969	Song Sparrow			1	SOSP			
137	Spectrogram 1	1	25138.639637977	25139.295537359	1129.245	6537.736	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240530_070002.wav	3556.0575	BIGM12_20240530_070002.wav	0.6559	Red-winged Blackbird			1	RWBL	conklaree		
139	Spectrogram 1	1	25142.545220659	25145.545220659	0.000	12183.962	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240530_070002.wav	3559.9631	BIGM12_20240530_070002.wav	3.0000	King Rail			1	KIRA	kek		1
82	Spectrogram 1	1	25142.880623752	25143.830090000	2084.328	6143.284	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240530_070002.wav	3560.2985	BIGM12_20240530_070002.wav	0.9495	Red-winged Blackbird			1	RWBL	conklaree		
142	Spectrogram 1	1	25144.401117773	25145.377513443	7072.642	9984.906	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240530_070002.wav	3561.8190	BIGM12_20240530_070002.wav	0.9764				1	NT			
143	Spectrogram 1	1	25146.130307052	25149.130307052	0.000	12124.528	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240530_070002.wav	3563.5482	BIGM12_20240530_070002.wav	3.0000	King Rail			1	KIRA	kek		1
84	Spectrogram 1	1	25146.222820000	25147.163410000	2029.478	6307.836	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240530_070002.wav	3563.6407	BIGM12_20240530_070002.wav	0.9406	Red-winged Blackbird			1	RWBL	conklaree		
144	Spectrogram 1	1	25147.153295418	25148.351420867	250.568	5170.755	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240530_070002.wav	3564.5712	BIGM12_20240530_070002.wav	1.1981	Red-winged Blackbird			1	RWBL	conklaree	faint in background?	
145	Spectrogram 1	1	25148.314153857	25148.820985197	6121.698	8499.057	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240530_070002.wav	3565.7320	BIGM12_20240530_070002.wav	0.5068				1	NT		SOSP?	
52	Spectrogram 1	1	28551.891080000	28554.891080000	658.209	12421.698	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240602_060002.wav	3372.2129	BIGM12_20240602_060002.wav	3.0000	King Rail		0.4773	1	KIRA	kek	More faint and has decent background noise	1
146	Spectrogram 1	1	28553.763157782	28554.001666648	1664.151	16403.774	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240602_060002.wav	3374.0850	BIGM12_20240602_060002.wav	0.2385				1	NT			
147	Spectrogram 1	1	28554.240175514	28554.881168091	1010.377	7132.075	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240602_060002.wav	3374.5620	BIGM12_20240602_060002.wav	0.6410	Red-winged Blackbird			1	RWBL	twitter		
85	Spectrogram 1	1	28556.903450000	28557.208730000	1645.522	8830.970	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240602_060002.wav	3377.2253	BIGM12_20240602_060002.wav	0.3053	Song Sparrow							
87	Spectrogram 1	1	28558.099820000	28560.740080000	1700.373	8885.821	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240602_060002.wav	3378.4216	BIGM12_20240602_060002.wav	2.6403	Song Sparrow							
148	Spectrogram 1	1	28561.000411186	28564.000411186	0.000	10995.283	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240602_060002.wav	3381.3222	BIGM12_20240602_060002.wav	3.0000	King Rail			1	KIRA	kek		1
86	Spectrogram 1	1	28562.241720000	28563.989225414	2084.328	9434.328	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240602_060002.wav	3382.5635	BIGM12_20240602_060002.wav	1.7475	Song Sparrow			1	SOSP			
149	Spectrogram 1	1	28563.527114486	28563.951958404	950.943	4279.245	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240602_060002.wav	3383.8489	BIGM12_20240602_060002.wav	0.4248	Northern Cardinal			1	NOCA			
53	Spectrogram 1	1	33492.699490000	33501.127700000	1206.716	4991.418	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240614_070002.wav	1118.8292	BIGM12_20240614_070002.wav	8.4282	King Rail		0.6496	1			Lots of background singing	
54	Spectrogram 1	1	39995.630922776	39998.630922776	767.910	14204.717	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240507_080002.wav	425.5658	BIGM14_20240507_080002.wav	3.0000	King Rail		0.6113	1				
152	Spectrogram 1	1	39995.943965662	39996.935268137	3328.302	7607.547	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240507_080002.wav	425.8788	BIGM14_20240507_080002.wav	0.9913					UNK			
88	Spectrogram 1	1	39996.958680000	39998.627190406	2029.478	7569.403	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240507_080002.wav	426.8936	BIGM14_20240507_080002.wav	1.6685	Common Yellowthroat			1				
154	Spectrogram 1	1	39999.714033957	40002.714033957	0.000	10460.377	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240507_080002.wav	429.6489	BIGM14_20240507_080002.wav	3.0000	King Rail			1	KIRA	kek		1
155	Spectrogram 1	1	39999.728940761	40002.598500556	3031.132	8261.321	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240507_080002.wav	429.6638	BIGM14_20240507_080002.wav	2.8696	Song Sparrow			1	SOSP			
94	Spectrogram 1	1	39999.767560922	40000.853060000	1590.672	6746.642	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240507_080002.wav	429.7024	BIGM14_20240507_080002.wav	1.0855	Red-winged Blackbird			1	RWBL	conklaree		
55	Spectrogram 1	1	45298.559750000	45301.559750000	1535.821	5101.119	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240516_070002.wav	333.8490	BIGM14_20240516_070002.wav	3.0000	King Rail		0.804					
90	Spectrogram 1	1	45299.283770000	45301.461980000	3016.791	6143.284	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240516_070002.wav	334.5730	BIGM14_20240516_070002.wav	2.1782	Common Yellowthroat							
164	Spectrogram 1	1	45302.750830425	45305.750830425	0.000	17651.887	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240516_070002.wav	338.0401	BIGM14_20240516_070002.wav	3.0000	King Rail			1	KIRA	kek		1
92	Spectrogram 1	1	45302.963630000	45304.234250000	3894.403	9379.478	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240516_070002.wav	338.2529	BIGM14_20240516_070002.wav	1.2706	Common Yellowthroat			1	COYE			
91	Spectrogram 1	1	45304.176500000	45305.290360000	1919.776	15303.358	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240516_070002.wav	339.4658	BIGM14_20240516_070002.wav	1.1139	Red-winged Blackbird			1	RWBL	multiple		
196	Spectrogram 1	1	45304.630951170	45305.219769933	3157.159	17138.864	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240516_070002.wav	339.9202	BIGM14_20240516_070002.wav	0.5888	Red-winged Blackbird			1	RWBL	jeer		
93	Spectrogram 1	1	45306.296950000	45309.296950000	0.000	10103.774	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240516_070002.wav	341.5862	BIGM14_20240516_070002.wav	3.0000	Marsh Wren			1	MAWR			1
166	Spectrogram 1	1	45306.382500655	45309.192433233	59.434	4279.245	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240516_070002.wav	341.6717	BIGM14_20240516_070002.wav	2.8099	Canada Goose			1	CAGO			
167	Spectrogram 1	1	45306.483342066	45309.256007634	0.000	6656.604	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240516_070002.wav	341.7726	BIGM14_20240516_070002.wav	2.7727	King Rail			1	KIRA	kek		
197	Spectrogram 1	1	45307.500510965	45308.573800862	4610.455	10173.068	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240516_070002.wav	342.7898	BIGM14_20240516_070002.wav	1.0733				1	NT			
165	Spectrogram 1	1	45308.536533852	45308.879390347	3625.472	8736.792	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240516_070002.wav	343.8258	BIGM14_20240516_070002.wav	0.3429	Red-winged Blackbird			1	RWBL	jeer		
56	Spectrogram 1	1	49891.066700000	49905.720150000	1097.015	4004.104	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240526_070002.wav	1329.2599	BIGM14_20240526_070002.wav	14.6534	King Rail		0.4088					
95	Spectrogram 1	1	49896.619510000	49897.510600000	1864.925	4004.104	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240526_070002.wav	1334.8127	BIGM14_20240526_070002.wav	0.8911	Red-winged Blackbird							
96	Spectrogram 1	1	49898.409940000	49899.317530000	2194.030	5978.731	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240526_070002.wav	1336.6031	BIGM14_20240526_070002.wav	0.9076	Red-winged Blackbird							
158	Spectrogram 1	1	49900.644362798	49903.357401149	0.000	12837.736	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240526_070002.wav	1338.8376	BIGM14_20240526_070002.wav	2.7130	King Rail			1	KIRA	kek		1
